iter	Logloss
0	0.6709474797
1	0.6480876281
2	0.6290335832
3	0.6115597032
4	0.5941855118
5	0.5805764034
6	0.5684551038
7	0.5570633123
8	0.5462076707
9	0.537602103
10	0.5294606536
11	0.5206816566
12	0.5134833118
13	0.5067508063
14	0.4998887403
15	0.4940211478
16	0.4883046345
17	0.4832032312
18	0.4785692482
19	0.4739203411
20	0.4698283892
21	0.4664449661
22	0.4626659016
23	0.45921952
24	0.4558336288
25	0.4534412008
26	0.4496179199
27	0.4456869791
28	0.4423354955
29	0.4402730423
30	0.4381619952
31	0.4350904857
32	0.4328069664
33	0.4306823129
34	0.4282592738
35	0.425918875
36	0.4241175537
37	0.4221193669
38	0.4201984366
39	0.4181333079
40	0.4162544621
41	0.4144641403
42	0.4131383448
43	0.4118330888
44	0.4104414802
45	0.4094119433
46	0.408199056
47	0.4071155474
48	0.4059671572
49	0.4044605554
50	0.4032605966
51	0.4019938057
52	0.4009513277
53	0.3999521692
54	0.3984719598
55	0.3974470226
56	0.3964477973
57	0.3957330139
58	0.394573071
59	0.3939051346
60	0.3930216416
61	0.3919513779
62	0.3912700097
63	0.3903917743
64	0.3895977096
65	0.3887799131
66	0.3880679307
67	0.3872351025
68	0.3863516235
69	0.385851904
70	0.385169542
71	0.384538308
72	0.3835303488
73	0.3829505358
74	0.3820151341
75	0.3812908279
76	0.3802582387
77	0.3798481428
78	0.3791773491
79	0.3786857939
80	0.3782431774
81	0.3777037961
82	0.3769985494
83	0.3764060314
84	0.3761247734
85	0.3757004789
86	0.3751835625
87	0.3745054198
88	0.3739379355
89	0.3730904223
90	0.3725369569
91	0.372039689
92	0.3716477172
93	0.3709133278
94	0.3705541211
95	0.3701274541
96	0.3697732225
97	0.3688894274
98	0.3686966147
99	0.3680816596
100	0.3676019995
101	0.3669785049
102	0.3666675433
103	0.3661071966
104	0.3656427041
105	0.3649143517
106	0.3642422035
107	0.3638306077
108	0.3631873838
109	0.3627772593
110	0.3622067374
111	0.3614448201
112	0.3610940086
113	0.3605977135
114	0.3601519063
115	0.3596797971
116	0.3591270862
117	0.3586118821
118	0.3581482744
119	0.3577809854
120	0.3573406842
121	0.3569859096
122	0.3564060562
123	0.3557078236
124	0.3550954783
125	0.3548301821
126	0.3543934137
127	0.3537321492
128	0.3532526514
129	0.3529309208
130	0.3526417728
131	0.352038328
132	0.3515948037
133	0.3513559521
134	0.3509118801
135	0.3505763432
136	0.350241685
137	0.3495941581
138	0.348992746
139	0.3484293384
140	0.3480717381
141	0.3477696293
142	0.3472443179
143	0.3466137744
144	0.3462450217
145	0.3457417897
146	0.3452908443
147	0.3449839608
148	0.344557214
149	0.3443168589
150	0.3438982008
151	0.3436558488
152	0.3434642364
153	0.3429446942
154	0.3425536717
155	0.3421687164
156	0.3418538669
157	0.3414504643
158	0.3411212753
159	0.340792095
160	0.3401954804
161	0.3397943292
162	0.3395357474
163	0.3390526166
164	0.3386083728
165	0.3382813682
166	0.3378984015
167	0.3376796284
168	0.3373890353
