iter	Passed	Remaining
0	64	64364
1	67	33906
2	71	23754
3	74	18620
4	78	15559
5	81	13465
6	85	12107
7	88	11000
8	93	10332
9	97	9685
10	101	9098
11	104	8603
12	108	8225
13	111	7857
14	114	7546
15	118	7260
16	121	7016
17	124	6786
18	127	6595
19	131	6432
20	134	6289
21	138	6149
22	141	6014
23	145	5903
24	148	5789
25	151	5670
26	154	5570
27	158	5487
28	161	5403
29	164	5315
30	167	5241
31	171	5173
32	174	5107
33	177	5041
34	180	4979
35	184	4941
36	188	4898
37	191	4846
38	195	4809
39	198	4760
40	201	4716
41	205	4676
42	208	4632
43	211	4594
44	214	4553
45	217	4509
46	220	4473
47	223	4432
48	226	4398
49	229	4365
50	233	4344
51	236	4318
52	240	4294
53	243	4272
54	247	4244
55	250	4219
56	253	4191
57	256	4166
58	259	4140
59	262	4113
60	265	4088
61	268	4068
62	272	4048
63	275	4027
64	278	4007
65	281	3989
66	284	3966
67	288	3954
68	292	3942
69	295	3927
70	299	3920
71	302	3904
72	306	3886
73	309	3866
74	312	3849
75	315	3833
76	318	3818
77	321	3802
78	324	3788
79	327	3771
80	331	3760
81	334	3747
82	338	3735
83	341	3724
84	345	3716
85	349	3718
86	353	3714
87	357	3704
88	360	3690
89	364	3681
90	367	3669
91	370	3661
92	374	3649
93	377	3639
94	381	3630
95	384	3620
96	387	3611
97	391	3602
98	394	3588
99	397	3577
100	400	3567
101	404	3558
102	407	3547
103	410	3536
104	413	3526
105	417	3517
106	420	3507
107	424	3502
108	427	3496
109	430	3487
110	434	3481
111	437	3471
112	441	3467
113	445	3464
114	449	3459
115	453	3456
116	458	3456
117	462	3453
118	466	3450
119	470	3447
120	474	3444
121	477	3436
122	480	3427
123	484	3421
124	487	3413
125	491	3405
126	494	3399
127	497	3392
128	501	3384
129	504	3377
130	508	3370
131	511	3362
132	514	3355
133	517	3346
134	520	3337
135	524	3330
136	527	3323
137	531	3320
138	535	3316
139	539	3311
140	542	3305
141	545	3297
142	549	3290
143	552	3284
144	555	3277
145	559	3272
146	563	3267
147	566	3259
148	569	3251
149	572	3246
150	576	3240
151	579	3235
152	583	3228
153	587	3229
154	593	3233
155	596	3228
156	600	3225
157	605	3225
158	609	3223
159	613	3220
160	617	3219
161	621	3212
162	624	3208
163	628	3205
