iter	Passed	Remaining
0	9	1814
1	17	1719
2	25	1690
3	34	1688
4	36	1434
5	45	1457
6	54	1492
7	62	1506
8	71	1512
9	79	1514
10	87	1511
11	96	1513
12	105	1515
13	109	1458
14	117	1455
15	126	1454
16	134	1450
17	142	1442
18	150	1435
19	158	1427
20	166	1419
21	174	1411
22	182	1404
23	190	1396
24	198	1390
25	206	1382
26	214	1375
27	222	1367
28	230	1359
29	238	1351
30	246	1343
31	254	1335
32	262	1327
33	270	1319
34	278	1311
35	286	1304
36	294	1295
37	302	1287
38	309	1279
39	317	1271
40	325	1263
41	333	1255
42	341	1246
43	349	1238
44	357	1231
45	365	1223
46	373	1215
47	381	1207
48	389	1199
49	397	1191
50	405	1183
51	413	1176
52	421	1168
53	429	1161
54	437	1153
55	445	1145
56	453	1137
57	461	1129
58	469	1121
59	477	1113
60	485	1105
61	487	1084
62	495	1077
63	503	1070
64	511	1062
65	519	1054
66	527	1046
67	529	1027
68	537	1020
69	545	1012
70	553	1005
71	561	997
72	563	980
73	571	972
74	579	965
75	587	958
76	595	951
77	603	944
78	611	936
79	619	929
80	627	921
81	631	909
82	639	901
83	647	894
84	650	879
85	658	872
86	666	865
87	674	858
88	675	842
89	683	835
90	691	828
91	699	821
92	707	814
93	715	806
94	723	799
95	731	792
96	739	785
97	747	777
98	755	770
99	763	763
100	764	749
101	765	735
102	773	728
103	775	715
104	782	708
105	790	701
106	798	694
107	806	687
108	814	680
109	822	672
110	830	665
111	838	658
112	846	651
113	854	644
114	862	637
115	863	625
116	871	618
117	879	611
118	887	604
119	895	597
120	903	590
121	911	583
122	919	575
123	927	568
124	935	561
125	943	554
126	952	547
127	959	539
128	967	532
129	975	525
130	983	517
131	991	510
132	999	503
133	1007	496
134	1015	488
135	1023	481
136	1031	474
137	1039	466
138	1047	459
139	1055	452
140	1063	444
141	1071	437
142	1078	430
143	1086	422
144	1094	415
145	1102	407
146	1110	400
147	1118	393
148	1126	385
149	1128	376
150	1135	368
151	1143	361
152	1151	353
153	1159	346
154	1167	338
155	1175	331
156	1183	324
157	1191	316
158	1199	309
159	1207	301
160	1215	294
161	1223	286
162	1230	279
163	1238	271
164	1246	264
165	1254	256
166	1262	249
167	1270	241
168	1278	234
169	1286	227
170	1294	219
171	1302	211
172	1310	204
173	1317	196
174	1325	189
175	1333	181
176	1341	174
177	1349	166
178	1357	159
179	1365	151
180	1373	144
181	1381	136
182	1389	129
183	1397	121
184	1405	113
185	1413	106
186	1421	98
187	1429	91
188	1437	83
189	1445	76
190	1453	68
191	1461	60
192	1469	53
193	1477	45
194	1485	38
195	1493	30
196	1501	22
197	1509	15
198	1517	7
199	1525	0
