INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
,ADANIENT,25-Jul-24,0.0,XX,3511.15,3511.15,2773.9,2970.5,2970.5,5453,51919.97,576000,209400,4-Jun-24,2564.06,1403.435,40.293116462899114,-8659.602944602964,-10962.131965617345
,ADANIENT,29-Aug-24,0.0,XX,3476.9,3525.0,2806.65,3000.6,3000.6,788,7610.95,424200,97800,4-Jun-24,2707.74,1682.6200000000001,40.32328113314694,-8084.073833087887,-10386.520339111454
,ADANIPORTS,27-Jun-24,0.0,XX,1552.0,1564.0,1120.0,1247.15,1247.15,134598,724961.21,28610400,-5840000,4-Jun-24,2496.9199999999996,1786.2449999999997,39.08451180255027,-7680.910867278773,-9845.398444744918
,ADANIPORTS,25-Jul-24,0.0,XX,1550.1,1550.85,1167.35,1257.55,1257.55,10365,55748.24,1373600,525200,4-Jun-24,2284.33,1885.4900000000002,39.09646273342049,-7276.681069368173,-9331.65496966957
,ADANIPORTS,29-Aug-24,0.0,XX,1580.0,1587.6,1208.85,1268.3,1268.3,1035,5704.14,253200,115200,4-Jun-24,1948.8199999999997,1986.0049999999999,39.109760585419714,-6876.194121496697,-8840.562800034995
,ALKEM,27-Jun-24,0.0,XX,4837.45,4875.0,4362.15,4713.05,4713.05,5118,24001.63,944900,-88800,4-Jun-24,2297.3300000000004,2430.695,43.37625786836603,-6209.266237876633,-8314.303487603323
,ALKEM,25-Jul-24,0.0,XX,4736.4,4800.0,4450.15,4734.9,4734.9,93,436.45,10800,-300,4-Jun-24,2644.19,2675.965,43.403346867378204,-5614.240502984827,-7774.290890679624
,ALKEM,29-Aug-24,0.0,XX,4725.3,4725.3,4725.3,4725.3,4789.9,2,9.59,300,200,4-Jun-24,3339.8199999999997,2918.37,43.393524327764126,-5084.838112366062,-7236.400335016911
,AMBUJACEM,27-Jun-24,0.0,XX,664.55,669.95,515.15,557.3,557.3,39771,210455.32,31653000,-802800,4-Jun-24,3199.77,2742.05,39.24126275479725,-4944.607315016705,-6778.0417310168705
,AMBUJACEM,25-Jul-24,0.0,XX,668.45,668.45,521.75,560.8,560.8,1837,9902.52,498600,261000,4-Jun-24,3058.27,2503.545,39.24651997244974,-4778.111877606048,-6378.055760334706
,AMBUJACEM,29-Aug-24,0.0,XX,664.0,664.0,532.85,563.55,563.55,134,724.52,65700,51300,4-Jun-24,2228.37,2262.8499999999995,39.25096767684635,-4592.995943707603,-6021.043797009285
,APOLLOHOSP,27-Jun-24,0.0,XX,5791.0,5985.0,5703.35,5855.15,5855.15,10115,74091.18,2151750,-93750,4-Jun-24,2452.42,2548.305,47.25301944832649,-3973.498320924404,-5611.534701792309
,APOLLOHOSP,25-Jul-24,0.0,XX,5812.1,6025.0,5750.0,5899.0,5899.0,303,2233.94,23500,-4625,4-Jun-24,2687.16,3013.4900000000002,47.3149516684212,-3439.3568977076593,-5177.099140975379
,APOLLOHOSP,29-Aug-24,0.0,XX,5926.2,6019.0,5797.65,5872.25,5872.25,46,342.27,3500,-500,4-Jun-24,3750.15,3474.96,47.27848287048826,-2983.8089803987264,-4738.441108860048
,APOLLOTYRE,27-Jun-24,0.0,XX,476.65,476.65,428.8,452.8,452.8,4192,32457.7,12612300,-992800,4-Jun-24,3728.55,3393.41,40.47238813364788,-3025.2154955510014,-4395.795986198239
,APOLLOTYRE,25-Jul-24,0.0,XX,468.85,474.0,429.15,450.15,450.15,368,2844.46,836400,73100,4-Jun-24,3705.87,2967.12,40.46932027241511,-3023.392503199639,-4121.315289598519
,APOLLOTYRE,29-Aug-24,0.0,XX,480.0,480.0,436.5,448.05,448.05,11,85.57,18700,11900,4-Jun-24,2624.45,2538.4350000000004,40.46670249449178,-2987.6771387853273,-3894.58765943588
,ASHOKLEY,27-Jun-24,0.0,XX,236.4,236.4,191.85,208.15,208.15,20177,217612.55,86780000,2065000,4-Jun-24,1486.2800000000002,2086.72,40.147212016603106,-2944.7847348848227,-3704.627074525669
,ASHOKLEY,25-Jul-24,0.0,XX,236.0,236.0,193.35,209.4,209.4,1547,16724.32,3005000,820000,4-Jun-24,353.71000000000015,2051.93,40.149863504786815,-2877.5210596364523,-3539.2058715478256
,ASHOKLEY,29-Aug-24,0.0,XX,236.0,236.1,192.55,210.95,210.95,170,1868.76,525000,315000,4-Jun-24,305.3400000000002,2016.9450000000002,40.15340389501759,-2791.905689460248,-3389.7458351303103
,ASIANPAINT,27-Jun-24,0.0,XX,2877.9,2889.05,2758.4,2841.65,2841.65,20541,116875.23,11256200,-317000,4-Jun-24,783.6400000000001,2244.755,45.99272749567169,-2483.1551209237887,-3208.427692289006
,ASIANPAINT,25-Jul-24,0.0,XX,2883.5,2904.05,2782.8,2862.4,2862.4,896,5126.27,158600,-6600,4-Jun-24,1266.5100000000002,1945.48,46.03745215031885,-2211.303192629711,-3009.002792357147
,ASIANPAINT,29-Aug-24,0.0,XX,2901.85,2922.0,2804.6,2880.75,2880.75,86,496.51,9400,-200,4-Jun-24,1801.0300000000002,1643.655,46.07997745822334,-1971.6499360730436,-2801.5322211003263
,ASTRAL,27-Jun-24,0.0,XX,2155.5,2155.5,1945.85,2021.25,2021.25,5215,39102.93,2452294,-85878,4-Jun-24,2163.4000000000005,1258.5549999999998,44.31827576655559,-1829.9825705534545,-2607.222290990952
,ASTRAL,25-Jul-24,0.0,XX,2136.25,2141.25,1952.85,2029.0,2029.0,144,1089.2,40370,3303,4-Jun-24,2527.01,1416.175,44.338939657143214,-1697.5168845132812,-2425.2812096954176
